database,alloy,T_C,phase,label,set_index,fraction
PrecHiMn-04,llm,400.0,CUB_A13,CUB_A13,0,0.835096316518581
PrecHiMn-04,llm,400.0,BCC_4SL,BCC_4SL[A2],1,0.14139119696754374
PrecHiMn-04,llm,400.0,KAPPA_E21,KAPPA_E21,2,0.02351248671872838
PrecHiMn-04,llm,410.0,BCC_4SL,BCC_4SL[A2],0,0.12628878932086232
PrecHiMn-04,llm,410.0,CUB_A13,CUB_A13,1,0.8501990758235846
PrecHiMn-04,llm,410.0,KAPPA_E21,KAPPA_E21,2,0.023512135024842215
PrecHiMn-04,llm,420.0,BCC_4SL,BCC_4SL[A2],0,0.11092837386610276
PrecHiMn-04,llm,420.0,CUB_A13,CUB_A13,1,0.8655599573075373
PrecHiMn-04,llm,420.0,KAPPA_E21,KAPPA_E21,2,0.02351166901078005
PrecHiMn-04,llm,430.0,CUB_A13,CUB_A13,0,0.8811585553382966
PrecHiMn-04,llm,430.0,BCC_4SL,BCC_4SL[A2],1,0.09533038645996578
PrecHiMn-04,llm,430.0,KAPPA_E21,KAPPA_E21,2,0.02351105830643129
PrecHiMn-04,llm,440.0,CUB_A13,CUB_A13,0,0.9764903293047142
PrecHiMn-04,llm,440.0,KAPPA_E21,KAPPA_E21,1,0.02350967070927839
PrecHiMn-04,llm,450.0,BCC_4SL,BCC_4SL[A2],0,0.06352645319452449
PrecHiMn-04,llm,450.0,CUB_A13,CUB_A13,1,0.9129642933969753
PrecHiMn-04,llm,450.0,KAPPA_E21,KAPPA_E21,2,0.023509253571876474
PrecHiMn-04,llm,460.0,CUB_A13,CUB_A13,0,0.9764925615717148
PrecHiMn-04,llm,460.0,KAPPA_E21,KAPPA_E21,1,0.023507438439340594
PrecHiMn-04,llm,470.0,CUB_A13,CUB_A13,0,0.976494053835596
PrecHiMn-04,llm,470.0,KAPPA_E21,KAPPA_E21,1,0.023505946166635053
PrecHiMn-04,llm,480.0,CUB_A13,CUB_A13,0,0.9764958555338783
PrecHiMn-04,llm,480.0,KAPPA_E21,KAPPA_E21,1,0.02350414447802962
PrecHiMn-04,llm,490.0,CUB_A13,CUB_A13,0,0.9764980175110055
PrecHiMn-04,llm,490.0,KAPPA_E21,KAPPA_E21,1,0.02350198249471965
PrecHiMn-04,llm,500.0,A1_FCC,A1_FCC,0,0.057637776546764795
PrecHiMn-04,llm,500.0,CUB_A13,CUB_A13,1,0.9202956559714627
PrecHiMn-04,llm,500.0,KAPPA_E21,KAPPA_E21,2,0.022066567474105618
PrecHiMn-04,llm,510.0,CUB_A13,CUB_A13,0,0.9765036572864664
PrecHiMn-04,llm,510.0,KAPPA_E21,KAPPA_E21,1,0.023496342692973217
PrecHiMn-04,llm,520.0,CUB_A13,CUB_A13,0,0.9765072692984218
PrecHiMn-04,llm,520.0,KAPPA_E21,KAPPA_E21,1,0.02349273069409087
PrecHiMn-04,llm,530.0,CUB_A13,CUB_A13,0,0.9765115110423126
PrecHiMn-04,llm,530.0,KAPPA_E21,KAPPA_E21,1,0.02348848896234781
PrecHiMn-04,llm,540.0,CUB_A13,CUB_A13,0,0.976516468432691
PrecHiMn-04,llm,540.0,KAPPA_E21,KAPPA_E21,1,0.02348353154622768
PrecHiMn-04,llm,550.0,CUB_A13,CUB_A13,0,0.9765222356832262
PrecHiMn-04,llm,550.0,KAPPA_E21,KAPPA_E21,1,0.02347776432052417
PrecHiMn-04,llm,560.0,CUB_A13,CUB_A13,0,0.9765289156132695
PrecHiMn-04,llm,560.0,KAPPA_E21,KAPPA_E21,1,0.023471084376394613
PrecHiMn-04,llm,570.0,A1_FCC,A1_FCC,0,0.31225215478953705
PrecHiMn-04,llm,570.0,CUB_A13,CUB_A13,1,0.6788429371029536
PrecHiMn-04,llm,570.0,KAPPA_E21,KAPPA_E21,2,0.008904908102472974
PrecHiMn-04,llm,580.0,A1_FCC,A1_FCC,0,0.35348986169835217
PrecHiMn-04,llm,580.0,CUB_A13,CUB_A13,1,0.6408444037086395
PrecHiMn-04,llm,580.0,KAPPA_E21,KAPPA_E21,2,0.0056657345876484815
PrecHiMn-04,llm,590.0,CUB_A13,CUB_A13,0,0.6019917737237236
PrecHiMn-04,llm,590.0,A1_FCC,A1_FCC,1,0.39600553770912605
PrecHiMn-04,llm,590.0,KAPPA_E21,KAPPA_E21,2,0.0020026885633055978
PrecHiMn-04,llm,600.0,CUB_A13,CUB_A13,0,0.5694871657550031
PrecHiMn-04,llm,600.0,A1_FCC,A1_FCC,1,0.43051283423016184
PrecHiMn-04,llm,610.0,CUB_A13,CUB_A13,0,0.5433049706338627
PrecHiMn-04,llm,610.0,A1_FCC,A1_FCC,1,0.45669502935867096
PrecHiMn-04,llm,620.0,CUB_A13,CUB_A13,0,0.5162066679203373
PrecHiMn-04,llm,620.0,A1_FCC,A1_FCC,1,0.4837933320864268
PrecHiMn-04,llm,630.0,CUB_A13,CUB_A13,0,0.48819652072019887
PrecHiMn-04,llm,630.0,A1_FCC,A1_FCC,1,0.511803479291479
PrecHiMn-04,llm,640.0,CUB_A13,CUB_A13,0,0.45927863730121676
PrecHiMn-04,llm,640.0,A1_FCC,A1_FCC,1,0.5407213626897319
PrecHiMn-04,llm,650.0,CUB_A13,CUB_A13,0,0.4294568437148162
PrecHiMn-04,llm,650.0,A1_FCC,A1_FCC,1,0.5705431562680069
PrecHiMn-04,llm,660.0,CUB_A13,CUB_A13,0,0.3987346511342423
PrecHiMn-04,llm,660.0,A1_FCC,A1_FCC,1,0.6012653488828366
PrecHiMn-04,llm,670.0,CUB_A13,CUB_A13,0,0.36711531421688576
PrecHiMn-04,llm,670.0,A1_FCC,A1_FCC,1,0.6328846857790417
PrecHiMn-04,llm,680.0,CUB_A13,CUB_A13,0,0.33460197808866454
PrecHiMn-04,llm,680.0,A1_FCC,A1_FCC,1,0.6653980219080787
PrecHiMn-04,llm,690.0,CUB_A13,CUB_A13,0,0.3011979089442922
PrecHiMn-04,llm,690.0,A1_FCC,A1_FCC,1,0.6988020910322976
PrecHiMn-04,llm,700.0,CUB_A13,CUB_A13,0,0.2669068057064648
PrecHiMn-04,llm,700.0,A1_FCC,A1_FCC,1,0.7330931942730419
PrecHiMn-04,llm,710.0,CUB_A13,CUB_A13,0,0.2317331900737695
PrecHiMn-04,llm,710.0,A1_FCC,A1_FCC,1,0.7682668099363571
PrecHiMn-04,llm,720.0,A1_FCC,A1_FCC,0,0.8043171272538767
PrecHiMn-04,llm,720.0,CUB_A13,CUB_A13,1,0.19568287275651228
PrecHiMn-04,llm,730.0,A1_FCC,A1_FCC,0,0.8412365065862146
PrecHiMn-04,llm,730.0,CUB_A13,CUB_A13,1,0.1587634934022279
PrecHiMn-04,llm,740.0,A1_FCC,A1_FCC,0,0.8790148677910343
PrecHiMn-04,llm,740.0,CUB_A13,CUB_A13,1,0.12098513224614936
PrecHiMn-04,llm,750.0,A1_FCC,A1_FCC,0,0.9176390108908384
PrecHiMn-04,llm,750.0,CUB_A13,CUB_A13,1,0.08236098914381738
