database,series,point,al_wt,mn_wt,ni_wt,si_wt,c_wt,T_C,label,fraction,alpha_solvus_C,solidus_C
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1000.0,A1_FCC,1.000000000003398,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1010.0,A1_FCC,1.0000000000054776,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1020.0,A1_FCC,1.0000000000007587,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1030.0,A1_FCC,0.9999999999971058,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1040.0,A1_FCC,1.0000000000189704,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1050.0,A1_FCC,1.000000000009167,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1060.0,A1_FCC,0.9647941865398569,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1060.0,B2_BCC[A2],0.035205813470569475,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1070.0,A1_FCC,0.9126711391970511,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1070.0,B2_BCC[A2],0.08732886075954165,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1080.0,B2_BCC[A2],0.14019294002193275,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1080.0,A1_FCC,0.8598070599691408,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1090.0,A1_FCC,0.8064048033988914,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1090.0,B2_BCC[A2],0.19359519659122815,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1100.0,A1_FCC,0.7527316118784275,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1100.0,B2_BCC[A2],0.24726838811881038,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1110.0,B2_BCC[A2],0.3008764107638793,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1110.0,A1_FCC,0.6991235893049111,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1120.0,B2_BCC[A2],0.3540162502603052,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1120.0,A1_FCC,0.6459837497425989,,1300.0
mpea-02b,C_measured,measured,6.24,31.78,4.81,1.11,0.105,1130.0,B2_BCC[A2],0.40622960862064,,1300.0
