database,alloy,T_C,phase,label,set_index,fraction
PrecHiMn-04,llm,1150.0,A1_FCC,A1_FCC,0,0.4716787363779722
PrecHiMn-04,llm,1150.0,BCC_4SL,BCC_4SL[A2],1,0.5283212636378636
PrecHiMn-04,llm,1160.0,A1_FCC,A1_FCC,0,0.4475650903796662
PrecHiMn-04,llm,1160.0,BCC_4SL,BCC_4SL[A2],1,0.55243490966983
PrecHiMn-04,llm,1170.0,A1_FCC,A1_FCC,0,0.42384114803483264
PrecHiMn-04,llm,1170.0,BCC_4SL,BCC_4SL[A2],1,0.5761588520299136
PrecHiMn-04,llm,1180.0,A1_FCC,A1_FCC,0,0.4005374929343556
PrecHiMn-04,llm,1180.0,BCC_4SL,BCC_4SL[A2],1,0.599462507109845
PrecHiMn-04,llm,1190.0,A1_FCC,A1_FCC,0,0.37767775653027835
PrecHiMn-04,llm,1190.0,BCC_4SL,BCC_4SL[A2],1,0.6223222434665769
PrecHiMn-04,llm,1200.0,A1_FCC,A1_FCC,0,0.3552781170909332
PrecHiMn-04,llm,1200.0,BCC_4SL,BCC_4SL[A2],1,0.6447218829293526
PrecHiMn-04,llm,1210.0,A1_FCC,A1_FCC,0,0.33334704878253907
PrecHiMn-04,llm,1210.0,BCC_4SL,BCC_4SL[A2],1,0.6666529512602084
PrecHiMn-04,llm,1220.0,A1_FCC,A1_FCC,0,0.31188531692377136
PrecHiMn-04,llm,1220.0,BCC_4SL,BCC_4SL[A2],1,0.6881146830693681
PrecHiMn-04,llm,1230.0,A1_FCC,A1_FCC,0,0.29088620100748624
PrecHiMn-04,llm,1230.0,BCC_4SL,BCC_4SL[A2],1,0.7091137990166576
PrecHiMn-04,llm,1240.0,A1_FCC,A1_FCC,0,0.2703359109772201
PrecHiMn-04,llm,1240.0,BCC_4SL,BCC_4SL[A2],1,0.7296640890716756
PrecHiMn-04,llm,1250.0,A1_FCC,A1_FCC,0,0.2502428126602253
PrecHiMn-04,llm,1250.0,BCC_4SL,BCC_4SL[A2],1,0.7497571873910515
PrecHiMn-04,llm,1260.0,A1_FCC,A1_FCC,0,1.0000000000271874
PrecHiMn-04,llm,1270.0,A1_FCC,A1_FCC,0,1.000000000018403
PrecHiMn-04,llm,1280.0,A1_FCC,A1_FCC,0,1.0000000000253355
PrecHiMn-04,llm,1290.0,A1_FCC,A1_FCC,0,1.0000000000225513
PrecHiMn-04,llm,1300.0,LIQUID,LIQUID,0,0.19156564445582752
PrecHiMn-04,llm,1300.0,A1_FCC,A1_FCC,1,0.8084343555986327
PrecHiMn-04,llm,1310.0,A1_FCC,A1_FCC,0,0.5726039551549766
PrecHiMn-04,llm,1310.0,LIQUID,LIQUID,1,0.42739604494339123
PrecHiMn-04,llm,1320.0,LIQUID,LIQUID,0,0.6993734836487693
PrecHiMn-04,llm,1320.0,A1_FCC,A1_FCC,1,0.30062651641674965
PrecHiMn-04,llm,1330.0,LIQUID,LIQUID,0,1.000000000075427
PrecHiMn-04,llm,1340.0,LIQUID,LIQUID,0,1.0000000000189062
PrecHiMn-04,llm,1350.0,LIQUID,LIQUID,0,1.0000000000156528
PrecHiMn-04,llm,1360.0,LIQUID,LIQUID,0,1.000000000034967
PrecHiMn-04,llm,1370.0,LIQUID,LIQUID,0,1.0000000000253668
PrecHiMn-04,llm,1380.0,LIQUID,LIQUID,0,1.0000000000814322
PrecHiMn-04,llm,1390.0,LIQUID,LIQUID,0,1.000000000067587
PrecHiMn-04,llm,1400.0,LIQUID,LIQUID,0,1.0000000000220592
