database,alloy,T_C,phase,label,set_index,fraction
mpea-02b,benchmark,1300.0,B2_BCC,B2_BCC[A2],0,1.000000000018893
mpea-02b,benchmark,1310.0,B2_BCC,B2_BCC[A2],0,1.0000000000124472
mpea-02b,benchmark,1320.0,B2_BCC,B2_BCC[A2],0,1.0000000000170584
mpea-02b,benchmark,1330.0,B2_BCC,B2_BCC[A2],0,0.9598206077609092
mpea-02b,benchmark,1330.0,LIQUID,LIQUID,1,0.04017939227455126
mpea-02b,benchmark,1340.0,LIQUID,LIQUID,0,0.16941818661539618
mpea-02b,benchmark,1340.0,B2_BCC,B2_BCC[A2],1,0.8305818134067404
mpea-02b,benchmark,1350.0,LIQUID,LIQUID,0,0.3465874395260013
mpea-02b,benchmark,1350.0,B2_BCC,B2_BCC[A2],1,0.6534125604561737
mpea-02b,benchmark,1360.0,LIQUID,LIQUID,0,0.5540230569244785
mpea-02b,benchmark,1360.0,B2_BCC,B2_BCC[A2],1,0.44597694303038254
mpea-02b,benchmark,1370.0,LIQUID,LIQUID,0,0.7876363494590074
mpea-02b,benchmark,1370.0,B2_BCC,B2_BCC[A2],1,0.21236365050489292
mpea-02b,benchmark,1380.0,LIQUID,LIQUID,0,1.0000000000146188
mpea-02b,benchmark,1390.0,LIQUID,LIQUID,0,1.000000000024446
mpea-02b,benchmark,1400.0,LIQUID,LIQUID,0,1.0000000000286196
mpea-02b,llm,1250.0,A1_FCC,A1_FCC,0,0.15307057356981335
mpea-02b,llm,1250.0,B2_BCC,B2_BCC[A2],1,0.8469294264295234
mpea-02b,llm,1260.0,A1_FCC,A1_FCC,0,0.13159592568274145
mpea-02b,llm,1260.0,B2_BCC,B2_BCC[A2],1,0.8684040743383653
mpea-02b,llm,1270.0,A1_FCC,A1_FCC,0,0.11146802596763813
mpea-02b,llm,1270.0,B2_BCC,B2_BCC[A2],1,0.8885319740330878
mpea-02b,llm,1280.0,A1_FCC,A1_FCC,0,0.09247439407895336
mpea-02b,llm,1280.0,B2_BCC,B2_BCC[A2],1,0.9075256059267975
mpea-02b,llm,1290.0,A1_FCC,A1_FCC,0,0.07442432398455187
mpea-02b,llm,1290.0,B2_BCC,B2_BCC[A2],1,0.9255756760062812
mpea-02b,llm,1300.0,LIQUID,LIQUID,0,0.03705197519798736
mpea-02b,llm,1300.0,B2_BCC,B2_BCC[A2],1,0.9629480248213708
mpea-02b,llm,1310.0,LIQUID,LIQUID,0,0.05100501526145023
mpea-02b,llm,1310.0,B2_BCC,B2_BCC[A2],1,0.9489949847966374
mpea-02b,llm,1320.0,LIQUID,LIQUID,0,0.0695115133201669
mpea-02b,llm,1320.0,B2_BCC,B2_BCC[A2],1,0.9304884866928473
mpea-02b,llm,1330.0,LIQUID,LIQUID,0,0.0946938568725727
mpea-02b,llm,1330.0,B2_BCC,B2_BCC[A2],1,0.9053061431378718
mpea-02b,llm,1340.0,LIQUID,LIQUID,0,0.12995057186316455
mpea-02b,llm,1340.0,B2_BCC,B2_BCC[A2],1,0.870049428151412
mpea-02b,llm,1350.0,LIQUID,LIQUID,0,0.18069200672266844
mpea-02b,llm,1350.0,B2_BCC,B2_BCC[A2],1,0.8193079932987545
mpea-02b,llm,1360.0,LIQUID,LIQUID,0,0.25505086473038785
mpea-02b,llm,1360.0,B2_BCC,B2_BCC[A2],1,0.744949135301759
mpea-02b,llm,1370.0,LIQUID,LIQUID,0,0.36353787902069506
mpea-02b,llm,1370.0,B2_BCC,B2_BCC[A2],1,0.636462120973718
mpea-02b,llm,1380.0,LIQUID,LIQUID,0,0.5163416319189797
mpea-02b,llm,1380.0,B2_BCC,B2_BCC[A2],1,0.4836583680772681
mpea-02b,llm,1390.0,LIQUID,LIQUID,0,0.7198047105297677
mpea-02b,llm,1390.0,B2_BCC,B2_BCC[A2],1,0.28019528943514477
mpea-02b,llm,1400.0,LIQUID,LIQUID,0,1.0000000000604816
mpea-02b,llm_noC,1350.0,B2_BCC,B2_BCC[A2],0,1.000000000049839
mpea-02b,llm_noC,1360.0,B2_BCC,B2_BCC[A2],0,1.0000000000261229
mpea-02b,llm_noC,1370.0,B2_BCC,B2_BCC[A2],0,1.0000000000551468
mpea-02b,llm_noC,1380.0,B2_BCC,B2_BCC[A2],0,0.81217434080697
mpea-02b,llm_noC,1380.0,LIQUID,LIQUID,1,0.18782565927972567
mpea-02b,llm_noC,1390.0,B2_BCC,B2_BCC[A2],0,0.5424288350960581
mpea-02b,llm_noC,1390.0,LIQUID,LIQUID,1,0.45757116492853317
mpea-02b,llm_noC,1400.0,LIQUID,LIQUID,0,0.762488801282648
mpea-02b,llm_noC,1400.0,B2_BCC,B2_BCC[A2],1,0.23751119873880688
PrecHiMn-04,llm,1150.0,A1_FCC,A1_FCC,0,0.47167873631581286
PrecHiMn-04,llm,1150.0,BCC_4SL,BCC_4SL[A2],1,0.5283212636867948
PrecHiMn-04,llm,1160.0,A1_FCC,A1_FCC,0,0.44756509037866155
PrecHiMn-04,llm,1160.0,BCC_4SL,BCC_4SL[A2],1,0.5524349096600077
PrecHiMn-04,llm,1170.0,A1_FCC,A1_FCC,0,0.4238411480338537
PrecHiMn-04,llm,1170.0,BCC_4SL,BCC_4SL[A2],1,0.5761588520023091
PrecHiMn-04,llm,1180.0,A1_FCC,A1_FCC,0,0.40053749298870983
PrecHiMn-04,llm,1180.0,BCC_4SL,BCC_4SL[A2],1,0.5994625069938281
PrecHiMn-04,llm,1190.0,A1_FCC,A1_FCC,0,0.37767775658729164
PrecHiMn-04,llm,1190.0,BCC_4SL,BCC_4SL[A2],1,0.622322243411579
PrecHiMn-04,llm,1200.0,A1_FCC,A1_FCC,0,0.3552781171203286
PrecHiMn-04,llm,1200.0,BCC_4SL,BCC_4SL[A2],1,0.6447218828394394
PrecHiMn-04,llm,1210.0,A1_FCC,A1_FCC,0,1.0000000000089704
