database,alloy,T_C,phase,label,set_index,fraction
mc_fe,llm,780.0,BCC_A2,BCC_A2,0,0.3750724134409259
mc_fe,llm,780.0,FCC_A1,FCC_A1,1,0.6249275865608866
mc_fe,llm,790.0,BCC_A2,BCC_A2,0,0.3748191217969674
mc_fe,llm,790.0,FCC_A1,FCC_A1,1,0.6251808782069951
mc_fe,llm,800.0,BCC_A2,BCC_A2,0,0.37476498861078755
mc_fe,llm,800.0,FCC_A1,FCC_A1,1,0.6252350113682105
mc_fe,llm,810.0,BCC_A2,BCC_A2,0,0.3749173985485684
mc_fe,llm,810.0,FCC_A1,FCC_A1,1,0.6250826014751909
mc_fe,llm,820.0,BCC_A2,BCC_A2,0,0.37528391656342075
mc_fe,llm,820.0,FCC_A1,FCC_A1,1,0.6247160834415
mc_fe,llm,830.0,BCC_A2,BCC_A2,0,0.37587227850868493
mc_fe,llm,830.0,FCC_A1,FCC_A1,1,0.6241277214560624
mc_fe,llm,840.0,BCC_A2,BCC_A2,0,0.37669038006188477
mc_fe,llm,840.0,FCC_A1,FCC_A1,1,0.6233096199368012
mc_fe,llm,850.0,BCC_A2,BCC_A2,0,0.37774626413959583
mc_fe,llm,850.0,FCC_A1,FCC_A1,1,0.6222537358637281
mc_fe,llm,860.0,FCC_A1,FCC_A1,0,0.6209518943853385
mc_fe,llm,860.0,BCC_A2,BCC_A2,1,0.3790481055981387
mc_fe,llm,870.0,FCC_A1,FCC_A1,0,0.6193958058580529
mc_fe,llm,870.0,BCC_A2,BCC_A2,1,0.38060419412762886
mc_fe,llm,880.0,FCC_A1,FCC_A1,0,0.6175770856447524
mc_fe,llm,880.0,BCC_A2,BCC_A2,1,0.382422914380521
mc_fe,llm,890.0,FCC_A1,FCC_A1,0,0.6154872771589481
mc_fe,llm,890.0,BCC_A2,BCC_A2,1,0.38451272284287497
mc_fe,llm,900.0,FCC_A1,FCC_A1,0,0.6131178775193392
mc_fe,llm,900.0,BCC_A2,BCC_A2,1,0.3868821224866336
mc_fe,llm,910.0,FCC_A1,FCC_A1,0,0.6104603668990978
mc_fe,llm,910.0,BCC_A2,BCC_A2,1,0.389539633110256
mc_fe,llm,920.0,FCC_A1,FCC_A1,0,0.6075062422477148
mc_fe,llm,920.0,BCC_A2,BCC_A2,1,0.3924937577622482
mc_fe,llm,930.0,FCC_A1,FCC_A1,0,0.6042470518969427
mc_fe,llm,930.0,BCC_A2,BCC_A2,1,0.3957529481061214
mc_fe,llm,940.0,FCC_A1,FCC_A1,0,0.6006744384894553
mc_fe,llm,940.0,BCC_A2,BCC_A2,1,0.3993255615436421
mc_fe,llm,950.0,FCC_A1,FCC_A1,0,0.596780182481215
mc_fe,llm,950.0,BCC_A2,BCC_A2,1,0.40321981749395513
mc_fe,llm,960.0,FCC_A1,FCC_A1,0,0.5925562518657538
mc_fe,llm,960.0,BCC_A2,BCC_A2,1,0.40744374809238887
mc_fe,llm,970.0,FCC_A1,FCC_A1,0,0.5879948546782032
mc_fe,llm,970.0,BCC_A2,BCC_A2,1,0.41200514533297145
mc_fe,llm,980.0,FCC_A1,FCC_A1,0,0.5830884965011104
mc_fe,llm,980.0,BCC_A2,BCC_A2,1,0.41691150350792633
mc_fe,llm,990.0,FCC_A1,FCC_A1,0,0.5778300413384044
mc_fe,llm,990.0,BCC_A2,BCC_A2,1,0.422169958647162
mc_fe,llm,1000.0,FCC_A1,FCC_A1,0,0.5722127762184882
mc_fe,llm,1000.0,BCC_A2,BCC_A2,1,0.42778722378021544
mc_fe,llm,1010.0,FCC_A1,FCC_A1,0,0.5662304782314145
mc_fe,llm,1010.0,BCC_A2,BCC_A2,1,0.4337695217954415
mc_fe,llm,1020.0,FCC_A1,FCC_A1,0,0.5598774836437875
mc_fe,llm,1020.0,BCC_A2,BCC_A2,1,0.440122516362516
mc_fe,llm,1030.0,FCC_A1,FCC_A1,0,0.5531487586622515
mc_fe,llm,1030.0,BCC_A2,BCC_A2,1,0.446851241326587
mc_fe,llm,1040.0,FCC_A1,FCC_A1,0,0.5460399699797723
mc_fe,llm,1040.0,BCC_A2,BCC_A2,1,0.45396003001632634
mc_fe,llm,1050.0,FCC_A1,FCC_A1,0,0.5385475524602533
mc_fe,llm,1050.0,BCC_A2,BCC_A2,1,0.46145244753108433
mc_fe,llm,1060.0,FCC_A1,FCC_A1,0,0.5306687767464103
mc_fe,llm,1060.0,BCC_A2,BCC_A2,1,0.46933122326940335
