database,series,ni_at,T_C,label,fraction,alpha_solvus_C,solidus_C
mpea-02b,C_measured,4.2,1000.0,A1_FCC,1.0000000000103115,,1300.0
mpea-02b,C_measured,4.2,1010.0,A1_FCC,1.0000000000038258,,1300.0
mpea-02b,C_measured,4.2,1020.0,A1_FCC,0.9999999999936993,,1300.0
mpea-02b,C_measured,4.2,1030.0,A1_FCC,1.0000000000111293,,1300.0
mpea-02b,C_measured,4.2,1040.0,A1_FCC,0.999999999996994,,1300.0
mpea-02b,C_measured,4.2,1050.0,A1_FCC,1.0000000000113192,,1300.0
mpea-02b,C_measured,4.2,1060.0,B2_BCC[A2],0.03679090241072572,,1300.0
mpea-02b,C_measured,4.2,1060.0,A1_FCC,0.9632090975932639,,1300.0
mpea-02b,C_measured,4.2,1070.0,B2_BCC[A2],0.08887207622809196,,1300.0
mpea-02b,C_measured,4.2,1070.0,A1_FCC,0.9111279237368387,,1300.0
mpea-02b,C_measured,4.2,1080.0,A1_FCC,0.8583086242856324,,1300.0
mpea-02b,C_measured,4.2,1080.0,B2_BCC[A2],0.1416913757254712,,1300.0
mpea-02b,C_measured,4.2,1090.0,A1_FCC,0.8049553775862439,,1300.0
mpea-02b,C_measured,4.2,1090.0,B2_BCC[A2],0.19504462240854512,,1300.0
mpea-02b,C_measured,4.2,1100.0,B2_BCC[A2],0.24866314140485332,,1300.0
mpea-02b,C_measured,4.2,1100.0,A1_FCC,0.751336858598009,,1300.0
mpea-02b,C_measured,4.2,1110.0,A1_FCC,0.6977905785599368,,1300.0
mpea-02b,C_measured,4.2,1110.0,B2_BCC[A2],0.3022094214178984,,1300.0
mpea-02b,C_measured,4.2,1120.0,B2_BCC[A2],0.3552792774290405,,1300.0
mpea-02b,C_measured,4.2,1120.0,A1_FCC,0.6447207225709565,,1300.0
mpea-02b,C_measured,4.2,1130.0,A1_FCC,0.5925862521033968,,1300.0
mpea-02b,C_measured,4.2,1130.0,B2_BCC[A2],0.4074137479134324,,1300.0
mpea-02b,C_measured,4.2,1140.0,A1_FCC,0.5418769516931792,,1300.0
mpea-02b,C_measured,4.2,1140.0,B2_BCC[A2],0.45812304829580036,,1300.0
mpea-02b,C_measured,4.2,1150.0,A1_FCC,0.4930777281917993,,1300.0
mpea-02b,C_measured,4.2,1150.0,B2_BCC[A2],0.5069222717779539,,1300.0
mpea-02b,C_measured,4.2,1160.0,A1_FCC,0.44662556601525644,,1300.0
mpea-02b,C_measured,4.2,1160.0,B2_BCC[A2],0.5533744340066337,,1300.0
mpea-02b,C_measured,4.2,1170.0,A1_FCC,0.40286755780538663,,1300.0
mpea-02b,C_measured,4.2,1170.0,B2_BCC[A2],0.5971324422181862,,1300.0
mpea-02b,C_measured,4.2,1180.0,A1_FCC,0.36202993682900264,,1300.0
mpea-02b,C_measured,4.2,1180.0,B2_BCC[A2],0.637970063171595,,1300.0
mpea-02b,C_measured,4.2,1190.0,B2_BCC[A2],0.6757945625715398,,1300.0
mpea-02b,C_measured,4.2,1190.0,A1_FCC,0.32420543744519403,,1300.0
mpea-02b,C_measured,4.2,1200.0,B2_BCC[A2],0.7106395074794442,,1300.0
mpea-02b,C_measured,4.2,1200.0,A1_FCC,0.2893604925412753,,1300.0
mpea-02b,C_measured,4.2,1210.0,A1_FCC,0.25735778932541625,,1300.0
mpea-02b,C_measured,4.2,1210.0,B2_BCC[A2],0.7426422106476075,,1300.0
mpea-02b,C_measured,4.2,1220.0,A1_FCC,0.2279864591244118,,1300.0
mpea-02b,C_measured,4.2,1220.0,B2_BCC[A2],0.7720135408720064,,1300.0
mpea-02b,C_measured,4.2,1230.0,A1_FCC,0.20099244175171768,,1300.0
mpea-02b,C_measured,4.2,1230.0,B2_BCC[A2],0.7990075582349933,,1300.0
mpea-02b,C_measured,4.2,1240.0,A1_FCC,0.17610407395786704,,1300.0
mpea-02b,C_measured,4.2,1240.0,B2_BCC[A2],0.8238959260431566,,1300.0
mpea-02b,C_measured,4.2,1250.0,A1_FCC,0.1530705736089245,,1300.0
mpea-02b,C_measured,4.2,1250.0,B2_BCC[A2],0.8469294263953236,,1300.0
mpea-02b,C_measured,4.2,1260.0,A1_FCC,0.13159592568650763,,1300.0
mpea-02b,C_measured,4.2,1260.0,B2_BCC[A2],0.8684040743101339,,1300.0
mpea-02b,C_measured,4.2,1270.0,A1_FCC,0.11146802594975283,,1300.0
mpea-02b,C_measured,4.2,1270.0,B2_BCC[A2],0.8885319740352877,,1300.0
mpea-02b,C_measured,4.2,1280.0,A1_FCC,0.09247439407342223,,1300.0
mpea-02b,C_measured,4.2,1280.0,B2_BCC[A2],0.9075256059278051,,1300.0
mpea-02b,C_measured,4.2,1290.0,A1_FCC,0.0744243239800552,,1300.0
mpea-02b,C_measured,4.2,1290.0,B2_BCC[A2],0.9255756759884237,,1300.0
mpea-02b,C_measured,4.2,1300.0,LIQUID,0.03705197515931617,,1300.0
mpea-02b,C_measured,4.2,1300.0,B2_BCC[A2],0.9629480248277329,,1300.0
mpea-02b,C_measured,4.2,1310.0,LIQUID,0.05100501525871626,,1300.0
mpea-02b,C_measured,4.2,1310.0,B2_BCC[A2],0.9489949847569304,,1300.0
mpea-02b,C_measured,4.2,1320.0,LIQUID,0.06951151330603685,,1300.0
mpea-02b,C_measured,4.2,1320.0,B2_BCC[A2],0.9304884867332435,,1300.0
mpea-02b,C_measured,4.2,1330.0,LIQUID,0.35830417984411445,,1300.0
mpea-02b,C_measured,4.2,1330.0,A1_FCC,0.6416958201018101,,1300.0
mpea-02b,C_measured,4.2,1340.0,LIQUID,0.6852602757660382,,1300.0
mpea-02b,C_measured,4.2,1340.0,A1_FCC,0.31473972424319807,,1300.0
mpea-02b,C_measured,4.2,1350.0,LIQUID,0.1806920067510959,,1300.0
mpea-02b,C_measured,4.2,1350.0,B2_BCC[A2],0.8193079932580128,,1300.0
mpea-02b,C_measured,4.2,1360.0,LIQUID,0.2550508647575142,,1300.0
mpea-02b,C_measured,4.2,1360.0,B2_BCC[A2],0.7449491353330927,,1300.0
mpea-02b,C_measured,4.2,1370.0,LIQUID,0.3635378790093346,,1300.0
mpea-02b,C_measured,4.2,1370.0,B2_BCC[A2],0.6364621210021417,,1300.0
mpea-02b,C_measured,4.2,1380.0,LIQUID,0.5163416317731346,,1300.0
mpea-02b,C_measured,4.2,1380.0,B2_BCC[A2],0.48365836823660396,,1300.0
mpea-02b,C_measured,4.2,1390.0,LIQUID,0.719804710512119,,1300.0
mpea-02b,C_measured,4.2,1390.0,B2_BCC[A2],0.2801952894433532,,1300.0
mpea-02b,C_measured,4.2,1400.0,LIQUID,0.9999999999917243,,1300.0
mpea-02b,C_measured,4.2,400.0,A1_FCC,0.35920586719678915,,1300.0
