database,alloy,T_C,phase,label,set_index,fraction
mc_fe,benchmark,400.0,BCC_A2,BCC_A2,0,0.7921404133759634
mc_fe,benchmark,400.0,FCC_A1,FCC_A1,1,0.2034589122773944
mc_fe,benchmark,400.0,M3P,M3P,2,0.004001544503608721
mc_fe,benchmark,400.0,M23C6,M23C6,3,0.0003991391741191941
mc_fe,benchmark,410.0,BCC_A2,BCC_A2,0,0.7946081729964695
mc_fe,benchmark,410.0,FCC_A1,FCC_A1,1,0.20124037895078295
mc_fe,benchmark,410.0,M3P,M3P,2,0.004001513542310649
mc_fe,benchmark,410.0,M23C6,M23C6,3,0.0001499447788777909
mc_fe,benchmark,420.0,BCC_A2,BCC_A2,0,0.8009125037412486
mc_fe,benchmark,420.0,FCC_A1,FCC_A1,1,0.0310514271334342
mc_fe,benchmark,420.0,BETA_MN,BETA_MN,2,0.16245386566818215
mc_fe,benchmark,420.0,M23C6,M23C6,3,0.0015807474845350392
mc_fe,benchmark,420.0,M3P,M3P,4,0.004001459283204832
mc_fe,benchmark,430.0,BETA_MN,BETA_MN,0,0.147081064480582
mc_fe,benchmark,430.0,FCC_A1,FCC_A1,1,0.04465208050524196
mc_fe,benchmark,430.0,BCC_A2,BCC_A2,2,0.8028860883931322
mc_fe,benchmark,430.0,M23C6,M23C6,3,0.0013793800586746425
mc_fe,benchmark,430.0,M3P,M3P,4,0.004001388031034853
mc_fe,benchmark,440.0,BETA_MN,BETA_MN,0,0.13113992415372455
mc_fe,benchmark,440.0,BCC_A2,BCC_A2,1,0.8043623926558449
mc_fe,benchmark,440.0,FCC_A1,FCC_A1,2,0.059391868969115316
mc_fe,benchmark,440.0,M23C6,M23C6,3,0.0011045318909726836
mc_fe,benchmark,440.0,M3P,M3P,4,0.004001284628817781
mc_fe,benchmark,450.0,BETA_MN,BETA_MN,0,0.11453971509725602
mc_fe,benchmark,450.0,FCC_A1,FCC_A1,1,0.07550171477186343
mc_fe,benchmark,450.0,BCC_A2,BCC_A2,2,0.8052239470681745
mc_fe,benchmark,450.0,M3P,M3P,3,0.004001136341731615
mc_fe,benchmark,450.0,M23C6,M23C6,4,0.0007334892252523086
mc_fe,benchmark,460.0,BETA_MN,BETA_MN,0,0.09717827968174078
mc_fe,benchmark,460.0,FCC_A1,FCC_A1,1,0.09324706056529211
mc_fe,benchmark,460.0,BCC_A2,BCC_A2,2,0.8053368180739676
mc_fe,benchmark,460.0,M3P,M3P,3,0.004000925767567831
mc_fe,benchmark,460.0,M23C6,M23C6,4,0.0002369180262267558
mc_fe,benchmark,470.0,BETA_MN,BETA_MN,0,0.08123614498151087
mc_fe,benchmark,470.0,FCC_A1,FCC_A1,1,0.10521969380664135
mc_fe,benchmark,470.0,BCC_A2,BCC_A2,2,0.8095435330079613
mc_fe,benchmark,470.0,M3P,M3P,3,0.004000628137133074
mc_fe,benchmark,480.0,BETA_MN,BETA_MN,0,0.06882169234798938
mc_fe,benchmark,480.0,FCC_A1,FCC_A1,1,0.11140003321953643
mc_fe,benchmark,480.0,BCC_A2,BCC_A2,2,0.8174303865322585
mc_fe,benchmark,480.0,LIQUID,LIQUID,3,0.002347887866927494
mc_fe,benchmark,490.0,BETA_MN,BETA_MN,0,0.05357482372870256
mc_fe,benchmark,490.0,FCC_A1,FCC_A1,1,0.1192479106530227
mc_fe,benchmark,490.0,BCC_A2,BCC_A2,2,0.8248331115815173
mc_fe,benchmark,490.0,LIQUID,LIQUID,3,0.0023441539325781808
mc_fe,benchmark,500.0,BETA_MN,BETA_MN,0,0.037926028472614504
mc_fe,benchmark,500.0,FCC_A1,FCC_A1,1,0.12734911135576868
mc_fe,benchmark,500.0,BCC_A2,BCC_A2,2,0.8323845675501964
mc_fe,benchmark,500.0,LIQUID,LIQUID,3,0.002340292662466346
mc_fe,benchmark,510.0,BETA_MN,BETA_MN,0,0.02185408631127182
mc_fe,benchmark,510.0,FCC_A1,FCC_A1,1,0.13571078590837368
mc_fe,benchmark,510.0,BCC_A2,BCC_A2,2,0.8400988375613582
mc_fe,benchmark,510.0,LIQUID,LIQUID,3,0.0023362902197454536
mc_fe,benchmark,520.0,BETA_MN,BETA_MN,0,0.005337018620373724
mc_fe,benchmark,520.0,FCC_A1,FCC_A1,1,0.14434023470524637
mc_fe,benchmark,520.0,BCC_A2,BCC_A2,2,0.8479906171096914
mc_fe,benchmark,520.0,LIQUID,LIQUID,3,0.0023321295134854834
mc_fe,benchmark,530.0,FCC_A1,FCC_A1,0,0.14330800739581756
mc_fe,benchmark,530.0,BCC_A2,BCC_A2,1,0.8543623668933907
mc_fe,benchmark,530.0,LIQUID,LIQUID,2,0.0023296257198778167
mc_fe,benchmark,540.0,FCC_A1,FCC_A1,0,0.13762753607183942
mc_fe,benchmark,540.0,BCC_A2,BCC_A2,1,0.8600446262084587
mc_fe,benchmark,540.0,LIQUID,LIQUID,2,0.002327837751983629
mc_fe,benchmark,550.0,BCC_A2,BCC_A2,0,0.8658027458326846
mc_fe,benchmark,550.0,FCC_A1,FCC_A1,1,0.1318713535554653
mc_fe,benchmark,550.0,LIQUID,LIQUID,2,0.0023259006397897027
mc_fe,benchmark,560.0,FCC_A1,FCC_A1,0,0.12605731669963677
mc_fe,benchmark,560.0,BCC_A2,BCC_A2,1,0.87161889710433
mc_fe,benchmark,560.0,LIQUID,LIQUID,2,0.0023237862596280044
mc_fe,benchmark,570.0,FCC_A1,FCC_A1,0,0.12020698924540328
mc_fe,benchmark,570.0,BCC_A2,BCC_A2,1,0.8774715484991966
mc_fe,benchmark,570.0,LIQUID,LIQUID,2,0.0023214622722482928
mc_fe,benchmark,580.0,FCC_A1,FCC_A1,0,0.11434571998372384
mc_fe,benchmark,580.0,BCC_A2,BCC_A2,1,0.8833353886347053
mc_fe,benchmark,580.0,LIQUID,LIQUID,2,0.002318891412532045
mc_fe,benchmark,590.0,FCC_A1,FCC_A1,0,0.10850249874496497
mc_fe,benchmark,590.0,BCC_A2,BCC_A2,1,0.8891814702662952
mc_fe,benchmark,590.0,LIQUID,LIQUID,2,0.0023160309886284965
mc_fe,benchmark,600.0,BCC_A2,BCC_A2,0,0.8949776613080661
mc_fe,benchmark,600.0,FCC_A1,FCC_A1,1,0.10270950620864859
mc_fe,benchmark,600.0,LIQUID,LIQUID,2,0.0023128324613392783
mc_fe,benchmark,610.0,BCC_A2,BCC_A2,0,0.9006894560130267
mc_fe,benchmark,610.0,FCC_A1,FCC_A1,1,0.09700130352560565
mc_fe,benchmark,610.0,LIQUID,LIQUID,2,0.002309240452962304
mc_fe,benchmark,620.0,BCC_A2,BCC_A2,0,0.9062811898970707
mc_fe,benchmark,620.0,FCC_A1,FCC_A1,1,0.09141361765430032
mc_fe,benchmark,620.0,LIQUID,LIQUID,2,0.0023051924462001877
mc_fe,benchmark,630.0,BCC_A2,BCC_A2,0,0.9117176098020706
mc_fe,benchmark,630.0,FCC_A1,FCC_A1,1,0.08598177237110725
mc_fe,benchmark,630.0,LIQUID,LIQUID,2,0.0023006178671070247
mc_fe,benchmark,640.0,FCC_A1,FCC_A1,0,0.08073887677348898
mc_fe,benchmark,640.0,BCC_A2,BCC_A2,1,0.9169656859361958
mc_fe,benchmark,640.0,LIQUID,LIQUID,2,0.0022954373100877706
mc_fe,benchmark,650.0,BCC_A2,BCC_A2,0,0.9219964668725313
mc_fe,benchmark,650.0,FCC_A1,FCC_A1,1,0.07571397125439683
mc_fe,benchmark,650.0,LIQUID,LIQUID,2,0.0022895619280149855
mc_fe,benchmark,660.0,BCC_A2,BCC_A2,0,0.926786715229127
mc_fe,benchmark,660.0,FCC_A1,FCC_A1,1,0.07093039228118485
mc_fe,benchmark,660.0,LIQUID,LIQUID,2,0.002282892444213305
mc_fe,benchmark,670.0,FCC_A1,FCC_A1,0,0.06640458357168767
mc_fe,benchmark,670.0,BCC_A2,BCC_A2,1,0.9313200979496322
mc_fe,benchmark,670.0,LIQUID,LIQUID,2,0.0022753185602477546
mc_fe,benchmark,680.0,FCC_A1,FCC_A1,0,0.06214553808783875
mc_fe,benchmark,680.0,BCC_A2,BCC_A2,1,0.9355877443602767
mc_fe,benchmark,680.0,LIQUID,LIQUID,2,0.0022667176612836113
mc_fe,benchmark,690.0,BCC_A2,BCC_A2,0,0.9395881359474468
mc_fe,benchmark,690.0,FCC_A1,FCC_A1,1,0.05815490981896057
mc_fe,benchmark,690.0,LIQUID,LIQUID,2,0.00225695426338625
mc_fe,benchmark,700.0,FCC_A1,FCC_A1,0,0.05442771265240747
mc_fe,benchmark,700.0,BCC_A2,BCC_A2,1,0.9433264083101893
mc_fe,benchmark,700.0,LIQUID,LIQUID,2,0.0022458790460120246
mc_fe,benchmark,710.0,BCC_A2,BCC_A2,0,0.9468132352730356
mc_fe,benchmark,710.0,FCC_A1,FCC_A1,1,0.050953437051768836
mc_fe,benchmark,710.0,LIQUID,LIQUID,2,0.0022333277072157285
mc_fe,benchmark,720.0,BCC_A2,BCC_A2,0,0.9500635099982393
