Time measurement,Extension,Primary load measurement
(s),(in),(lbf)
"0.00000","0.0000","-0.0231"
"0.20000","0.0006","-0.0227"
"0.40000","0.0015","-0.0162"
"0.60000","0.0023","0.0164"
"0.80000","0.0031","0.3491"
"1.00000","0.0040","0.8201"
"1.20000","0.0048","1.3026"
"1.40000","0.0056","1.7828"
"1.60000","0.0065","2.2694"
"1.80000","0.0073","2.7495"
"2.00000","0.0081","3.2317"
"2.20000","0.0090","3.7124"
"2.40000","0.0098","4.1913"
"2.60000","0.0106","4.6667"
"2.80000","0.0115","5.1405"
"3.00000","0.0123","5.6139"
"3.20000","0.0131","6.0878"
"3.40000","0.0140","6.5590"
"3.60000","0.0148","7.0248"
"3.80000","0.0156","7.4915"
"4.00000","0.0165","7.9608"
"4.20000","0.0173","8.4219"
"4.40000","0.0181","8.8861"
"4.60000","0.0190","9.3440"
"4.80000","0.0198","9.8073"
"5.00000","0.0206","10.2628"
"5.20000","0.0215","10.7134"
"5.40000","0.0223","11.1640"
"5.60000","0.0231","11.6146"
"5.80000","0.0240","12.0633"
"6.00000","0.0248","12.5045"
"6.20000","0.0256","12.9502"
"6.39200","0.0264","7.6246"

