Time,Displacement,Force
(s),(in),(lbf)
"0.0000","0.0000","-0.0510"
"0.1000","0.0001","-0.0512"
"0.2000","0.0005","-0.0470"
"0.3000","0.0010","-0.0522"
"0.4000","0.0014","-0.0497"
"0.5000","0.0018","-0.0502"
"0.6000","0.0022","-0.0479"
"0.7000","0.0026","-0.0494"
"0.8000","0.0031","-0.0442"
"0.9000","0.0035","-0.0444"
"1.0000","0.0039","-0.0426"
"1.1000","0.0043","-0.0410"
"1.2000","0.0047","-0.0372"
"1.3000","0.0051","-0.0315"
"1.4000","0.0056","-0.0180"
"1.5000","0.0060","0.0246"
"1.6000","0.0064","0.2109"
"1.7000","0.0068","0.4987"
"1.8000","0.0072","0.7964"
"1.9000","0.0076","1.0988"
"2.0000","0.0081","1.4077"
"2.1000","0.0085","1.7151"
"2.2000","0.0089","2.0099"
"2.3000","0.0093","2.3070"
"2.4000","0.0097","2.5988"
"2.5000","0.0101","2.8315"
"2.6000","0.0106","2.9573"
"2.7000","0.0110","3.1294"
"2.8000","0.0114","3.3635"
"2.9000","0.0118","3.6583"
"3.0000","0.0122","3.9517"
"3.1000","0.0126","4.2492"
"3.2000","0.0131","4.5432"
"3.3000","0.0135","4.8341"
"3.4000","0.0139","5.1170"
"3.5000","0.0143","5.4029"
"3.6000","0.0147","5.6841"
"3.7000","0.0151","5.9523"
"3.8000","0.0156","6.2185"
"3.9000","0.0160","6.5037"
"4.0000","0.0164","6.7959"
"4.1000","0.0168","7.0861"
"4.2000","0.0172","7.3802"
"4.3000","0.0176","7.6672"
"4.4000","0.0181","7.9471"
"4.5000","0.0185","8.2234"
"4.6000","0.0189","8.5026"
"4.7000","0.0193","8.7787"
"4.8000","0.0197","9.0396"
"4.9000","0.0202","9.3101"
"5.0000","0.0206","9.5623"
"5.1000","0.0210","9.8047"
"5.2000","0.0214","10.0386"
"5.3000","0.0218","10.2569"
"5.4000","0.0222","10.4544"
"5.5000","0.0226","10.6359"
"5.6000","0.0231","10.7915"
"5.7000","0.0235","10.9231"
"5.8000","0.0239","11.0357"
"5.9000","0.0243","11.1274"
"6.0000","0.0247","11.1983"
"6.1000","0.0251","11.2555"
"6.2000","0.0256","11.2963"
"6.3000","0.0260","11.3371"
"6.4000","0.0264","11.3646"
"6.5000","0.0268","11.3926"
"6.6000","0.0272","11.4184"
"6.7000","0.0276","11.4465"
"6.8000","0.0281","11.4660"
"6.9000","0.0285","11.4986"
"7.0000","0.0289","11.5248"
"7.1000","0.0293","11.5524"
"7.2000","0.0297","11.5833"
"7.3000","0.0301","11.6181"
"7.4000","0.0306","11.6471"
"7.5000","0.0310","11.6850"
"7.6000","0.0314","11.7237"
"7.7000","0.0318","11.7571"
"7.8000","0.0322","11.7937"
"7.9000","0.0326","11.8350"
"8.0000","0.0331","11.8715"
"8.1000","0.0335","11.9128"
"8.2000","0.0339","11.9516"
"8.3000","0.0343","11.9940"
"8.4000","0.0347","12.0360"
"8.5000","0.0351","12.0771"
"8.6000","0.0356","12.1208"
"8.7000","0.0360","12.1630"
"8.8000","0.0364","12.2036"
"8.9000","0.0368","12.2471"
"9.0000","0.0372","12.2883"
"9.1000","0.0376","12.3293"
"9.2000","0.0381","12.3761"
"9.3000","0.0385","12.4168"
"9.4000","0.0389","12.4548"
"9.5000","0.0393","12.4999"
"9.6000","0.0397","12.5388"
"9.7000","0.0401","12.5759"
"9.8000","0.0406","12.6181"
"9.9000","0.0410","12.6557"
"10.0000","0.0414","12.6937"
"10.1000","0.0418","12.7339"
"10.2000","0.0422","12.7689"
"10.3000","0.0426","12.8026"
"10.4000","0.0431","12.8412"
"10.5000","0.0435","12.8749"
"10.6000","0.0439","12.9115"
"10.7000","0.0443","12.9473"
"10.8000","0.0447","12.9746"
"10.9000","0.0451","13.0104"
"11.0000","0.0456","13.0448"
"11.1000","0.0460","13.0707"
"11.2000","0.0464","13.1044"
"11.3000","0.0468","13.1367"
"11.4000","0.0472","13.1630"
"11.5000","0.0476","13.1918"
"11.6000","0.0481","13.2246"
"11.7000","0.0485","13.2515"
"11.8000","0.0489","13.2819"
"11.9000","0.0493","13.3081"
"12.0000","0.0497","13.3349"
"12.1000","0.0501","13.3587"
"12.2000","0.0506","13.3857"
"12.3000","0.0510","13.4120"
"12.4000","0.0514","13.4362"
"12.5000","0.0518","13.4612"
"12.6000","0.0522","13.4884"
"12.7000","0.0526","13.5115"
"12.8000","0.0531","13.5350"
"12.9000","0.0535","13.5569"
"13.0000","0.0539","13.5817"
"13.1000","0.0543","13.5984"
"13.2000","0.0547","13.6264"
"13.3000","0.0551","13.6469"
"13.4000","0.0556","13.6665"
"13.5000","0.0560","13.6882"
"13.6000","0.0564","13.7134"
"13.7000","0.0568","13.7300"
"13.8000","0.0572","13.7521"
"13.9000","0.0576","13.7722"
"14.0000","0.0581","13.7904"
"14.1000","0.0585","13.8123"
"14.2000","0.0589","13.8302"
"14.3000","0.0593","13.8483"
"14.4000","0.0597","13.8697"
"14.5000","0.0601","13.8814"
"14.6000","0.0606","13.9034"
"14.7000","0.0610","13.9219"
"14.8000","0.0614","13.9381"
"14.9000","0.0618","13.9585"
"15.0000","0.0622","13.9767"
"15.1000","0.0626","13.9868"
"15.2000","0.0631","14.0090"
"15.3000","0.0635","14.0256"
"15.4000","0.0639","14.0386"
"15.5000","0.0643","14.0584"
"15.6000","0.0647","14.0735"
"15.7000","0.0651","14.0867"
"15.8000","0.0656","14.1053"
"15.9000","0.0660","14.1229"
"16.0000","0.0664","14.1357"
"16.1000","0.0668","14.1514"
"16.2000","0.0672","14.1675"
"16.3000","0.0676","14.1804"
"16.4000","0.0681","14.1974"
"16.5000","0.0685","14.2097"
"16.6000","0.0689","14.2286"
"16.7000","0.0693","14.2415"
"16.8000","0.0697","14.2541"
"16.9000","0.0701","14.2697"
"17.0000","0.0706","14.2847"
"17.1000","0.0710","14.2975"
"17.2000","0.0714","14.3152"
"17.3000","0.0718","14.3285"
"17.4000","0.0722","14.3374"
"17.5000","0.0727","14.3552"
"17.6000","0.0731","14.3717"
"17.7000","0.0735","14.3768"
"17.8000","0.0739","14.3974"
"17.9000","0.0743","14.4088"
"18.0000","0.0747","14.4193"
"18.1000","0.0751","14.4327"
"18.2000","0.0756","14.4493"
"18.3000","0.0760","14.4596"
"18.4000","0.0764","14.4738"
"18.5000","0.0768","14.4850"
"18.6000","0.0772","14.4965"
"18.7000","0.0776","14.5097"
"18.8000","0.0781","14.5218"
"18.9000","0.0785","14.5359"
"19.0000","0.0789","14.5475"
"19.1000","0.0793","14.5566"
"19.2000","0.0797","14.5718"
"19.3000","0.0802","14.5832"
"19.4000","0.0806","14.5924"
"19.5000","0.0810","14.6049"
"19.6000","0.0814","14.6197"
"19.7000","0.0818","14.6263"
"19.8000","0.0822","14.6416"
"19.9000","0.0826","14.6527"
"20.0000","0.0831","14.6592"
"20.1000","0.0835","14.6764"
"20.2000","0.0839","14.6880"
