Time measurement,Extension,Primary load measurement
(s),(in),(lbf)
"0.00000","0.0000","1.7318"
"0.20000","0.0000","2.1894"
"0.40000","0.0001","3.0421"
"0.60000","0.0001","4.0964"
"0.80000","0.0002","5.0093"
"1.00000","0.0002","5.9923"
"1.20000","0.0002","6.8842"
"1.40000","0.0003","7.7662"
"1.60000","0.0003","8.6130"
"1.80000","0.0004","9.4392"
"2.00000","0.0004","10.2822"
"2.20000","0.0005","11.1374"
"2.40000","0.0005","11.9715"
"2.60000","0.0005","12.7929"
"2.80000","0.0006","13.6252"
"3.00000","0.0006","14.4449"
"3.20000","0.0007","15.2514"
"3.40000","0.0007","16.0774"
"3.60000","0.0007","16.8927"
"3.80000","0.0008","17.7496"
"4.00000","0.0008","18.5774"
"4.20000","0.0009","19.4021"
"4.40000","0.0009","20.2210"
"4.60000","0.0010","21.0108"
"4.80000","0.0010","21.7653"
"5.00000","0.0010","22.5157"
"5.20000","0.0011","23.2832"
"5.40000","0.0011","24.0571"
"5.60000","0.0012","24.8560"
"5.80000","0.0012","25.6538"
"6.00000","0.0012","26.4520"
"6.20000","0.0013","27.2019"
"6.40000","0.0013","27.9315"
"6.60000","0.0014","28.6682"
"6.80000","0.0014","29.4225"
"7.00000","0.0015","30.1713"
"7.20000","0.0015","30.9120"
"7.40000","0.0015","31.6516"
"7.60000","0.0016","32.3807"
"7.80000","0.0016","33.0978"
"8.00000","0.0017","33.8013"
"8.20000","0.0017","34.4971"
"8.40000","0.0017","35.1761"
"8.60000","0.0018","35.8792"
"8.80000","0.0018","36.5859"
"9.00000","0.0019","37.3107"
"9.20000","0.0019","38.0271"
"9.40000","0.0020","38.7518"
"9.60000","0.0020","39.4467"
"9.80000","0.0020","40.1027"
"10.00000","0.0021","40.7423"
"10.20000","0.0021","41.3835"
"10.40000","0.0022","42.0500"
"10.60000","0.0022","42.7463"
"10.80000","0.0022","43.4420"
"11.00000","0.0023","44.1405"
"11.20000","0.0023","44.8219"
"11.32300","0.0024","45.2177"
"11.32400","0.0024","45.2210"
"11.32500","0.0024","45.2245"
"11.52500","0.0024","45.0098"
"11.72500","0.0023","44.5432"
"11.92500","0.0023","44.1103"
"12.12500","0.0023","43.5822"
"12.32500","0.0023","42.8593"
"12.52500","0.0022","41.9356"
"12.72500","0.0022","40.9721"
"12.92500","0.0022","40.0068"
"13.12500","0.0021","39.0425"
"13.32500","0.0021","38.0680"
"13.52500","0.0021","37.1382"
"13.72500","0.0020","36.2156"
"13.92500","0.0020","35.3165"
"14.12500","0.0020","34.4391"
"14.32500","0.0019","33.5896"
"14.52500","0.0019","32.7492"
"14.72500","0.0019","31.9263"
"14.92500","0.0018","31.1156"
"15.12500","0.0018","30.2911"
"15.32500","0.0018","29.4778"
"15.52500","0.0017","28.6559"
"15.72500","0.0017","27.8602"
"15.92500","0.0016","27.0410"
"16.12500","0.0016","26.2223"
"16.32500","0.0016","25.4220"
"16.52500","0.0015","24.6153"
"16.72500","0.0015","23.8418"
"16.92500","0.0015","23.0792"
"17.12500","0.0014","22.3390"
"17.32500","0.0014","21.6017"
"17.52500","0.0014","20.8669"
"17.72500","0.0014","20.1433"
"17.92500","0.0013","19.4241"
"18.12500","0.0013","18.6899"
"18.32500","0.0013","17.9606"
"18.52500","0.0012","17.2134"
"18.72500","0.0012","16.4614"
"18.92500","0.0012","15.7423"
"19.12500","0.0011","15.0226"
"19.32500","0.0011","14.3074"
"19.52500","0.0011","13.5990"
"19.72500","0.0010","12.8793"
"19.92500","0.0010","12.1544"
"20.12500","0.0010","11.4332"
"20.32500","0.0009","10.7059"
"20.52500","0.0009","10.0007"
"20.72500","0.0009","9.2974"
"20.92500","0.0008","8.6021"
"21.12500","0.0008","7.9184"
"21.32500","0.0008","7.2198"
"21.52500","0.0007","6.5553"
"21.72500","0.0007","5.8801"
"21.92500","0.0007","5.1943"
"22.12500","0.0006","4.5239"
"22.32500","0.0006","3.8347"
"22.52500","0.0006","3.1432"
"22.72500","0.0005","2.4568"
"22.92500","0.0005","1.7760"
"23.12500","0.0004","1.1188"
"23.32500","0.0004","0.4627"
"23.47000","0.0004","-0.0005"
"23.47100","0.0004","-0.0040"
"23.47200","0.0004","-0.0074"
"23.67200","0.0004","0.1456"
"23.87200","0.0004","0.6881"
"24.07200","0.0004","1.2423"
"24.27200","0.0005","2.0722"
"24.47200","0.0005","3.1461"
"24.67200","0.0006","4.3663"
"24.87200","0.0006","5.6307"
"25.07200","0.0007","6.8973"
"25.27200","0.0007","8.1470"
"25.47200","0.0007","9.3693"
"25.67200","0.0008","10.5775"
"25.87200","0.0008","11.7700"
"26.07200","0.0009","12.9268"
"26.27200","0.0009","14.0855"
"26.47200","0.0010","15.1965"
"26.67200","0.0010","16.2831"
"26.87200","0.0010","17.3495"
"27.07200","0.0011","18.4338"
"27.27200","0.0011","19.5334"
"27.47200","0.0012","20.6565"
"27.67200","0.0012","21.7713"
"27.87200","0.0013","22.8610"
"28.07200","0.0013","23.9158"
"28.27200","0.0013","24.9763"
"28.47200","0.0014","26.0305"
"28.67200","0.0014","27.1020"
"28.87200","0.0015","28.1566"
"29.07200","0.0015","29.2132"
"29.27200","0.0015","30.2563"
"29.47200","0.0016","31.2745"
"29.67200","0.0016","32.2697"
"29.87200","0.0017","33.2479"
"30.07200","0.0017","34.2098"
"30.27200","0.0018","35.1445"
"30.47200","0.0018","36.0984"
"30.67200","0.0018","37.0505"
"30.87200","0.0019","37.9883"
"31.07200","0.0019","38.9194"
"31.27200","0.0020","39.8553"
"31.47200","0.0020","40.7562"
"31.67200","0.0020","41.6120"
"31.87200","0.0021","42.4346"
"32.07200","0.0021","43.2454"
"32.27200","0.0022","44.0652"
"32.47200","0.0022","44.8894"
"32.67200","0.0022","45.7535"
"32.87200","0.0023","46.6290"
"33.07200","0.0023","47.4556"
"33.27200","0.0024","48.2414"
"33.47200","0.0024","49.0082"
"33.67200","0.0025","49.7696"
"33.87200","0.0025","50.5282"
"34.07200","0.0025","51.2812"
"34.27200","0.0026","52.0144"
"34.47200","0.0026","52.7429"
"34.67200","0.0027","53.4661"
"34.87200","0.0027","54.1525"
"35.07200","0.0028","54.8180"
"35.27200","0.0028","55.4748"
"35.47200","0.0028","56.1518"
"35.67200","0.0029","56.8362"
"35.87200","0.0029","57.5282"
"36.07200","0.0030","58.2248"
"36.27200","0.0030","58.9153"
"36.47200","0.0030","59.6032"
"36.67200","0.0031","60.2466"
"36.87200","0.0031","60.8667"
"37.07200","0.0032","61.4753"
"37.27200","0.0032","62.1034"
"37.47200","0.0033","62.7450"
"37.67200","0.0033","63.4174"
"37.87200","0.0033","64.0624"
"38.07200","0.0034","64.6792"
"38.27200","0.0034","65.2725"
"38.47200","0.0035","65.8593"
"38.67200","0.0035","66.4525"
"38.87200","0.0035","67.0598"
"39.07200","0.0036","67.6689"
"39.27200","0.0036","68.2797"
"39.47200","0.0037","68.8845"
"39.67200","0.0037","69.4860"
"39.87200","0.0038","70.0737"
"40.07200","0.0038","70.6483"
"40.27200","0.0038","71.2147"
"40.47200","0.0039","71.7865"
"40.67200","0.0039","72.3742"
"40.87200","0.0040","72.9801"
"41.07200","0.0040","73.5860"
"41.27200","0.0040","74.1764"
"41.47200","0.0041","74.7743"
"41.67200","0.0041","75.3291"
"41.87200","0.0042","75.8580"
"42.07200","0.0042","76.3731"
"42.27200","0.0043","76.9005"
"42.47200","0.0043","77.4432"
"42.67200","0.0043","78.0144"
"42.87200","0.0044","78.5933"
"43.07200","0.0044","79.1804"
"43.27200","0.0045","79.7312"
"43.47200","0.0045","80.2714"
"43.67200","0.0045","80.8101"
"43.87200","0.0046","81.3585"
"44.07200","0.0046","81.9247"
"44.27200","0.0047","82.4954"
"44.47200","0.0047","83.0609"
"44.51300","0.0047","83.1806"
"44.51400","0.0047","83.1835"
"44.51500","0.0047","83.1863"
"44.71500","0.0047","82.8170"
"44.91500","0.0047","82.2083"
"45.11500","0.0047","81.5893"
"45.31500","0.0047","80.8832"
"45.51500","0.0046","79.9408"
"45.71500","0.0046","78.8146"
"45.91500","0.0045","77.5912"
"46.11500","0.0045","76.3299"
"46.31500","0.0044","75.0136"
"46.51500","0.0044","73.6962"
"46.71500","0.0044","72.4058"
"46.91500","0.0043","71.1703"
"47.11500","0.0043","69.9500"
"47.31500","0.0042","68.7345"
"47.51500","0.0042","67.5206"
"47.71500","0.0041","66.3048"
"47.91500","0.0041","65.0861"
"48.11500","0.0041","63.9052"
"48.31500","0.0040","62.7567"
"48.51500","0.0040","61.6283"
"48.71500","0.0039","60.5075"
"48.91500","0.0039","59.4203"
"49.11500","0.0039","58.3387"
"49.31500","0.0038","57.2556"
"49.51500","0.0038","56.1766"
"49.71500","0.0037","55.0975"
"49.91500","0.0037","53.9988"
"50.11500","0.0037","52.9140"
"50.31500","0.0036","51.8492"
"50.51500","0.0036","50.7976"
